Name,obs time,obs time error,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Average Exposure Time [s],rank,Number of transits
AU Mic b,2021-06-14 07:49:12.929075,0.001,3.5 h,3700,5.436,795,101.83,0,161.71,16,2528100,4
AU Mic b,2021-07-01 06:01:57.485118,0.00108,3.5 h,3700,5.436,795,101.71,0,161.69,16,2528100,4
AU Mic b,2021-07-18 04:15:17.658129,0.00116,3.5 h,3700,5.436,795,101.45,0,161.65,16,2528100,4
AU Mic b,2021-08-04 02:29:16.929599,0.00124,3.5 h,3700,5.436,795,101.09,0,161.59,16,2528100,4
HD 21749 c,2021-09-04 07:37:22.680989,0.01938,2.515 h,4640,6.081,258,101.72,0,162.07,35,199692,3
HD 21749 c,2020-11-20 02:11:13.745644,0.00051,2.515 h,4640,6.081,258,101.57,0,162.03,35,199692,3
HD 21749 c,2021-10-13 06:25:06.354806,0.02193,2.515 h,4640,6.081,258,102.05,0,162.13,35,199692,3
GJ 357 b,2021-05-05 00:25:34.146481,0.00344,1.53 h,3505,7.337,61,101.40,0,160.85,90,26047,7
GJ 357 b,2020-12-26 07:16:47.166167,0.0008,1.53 h,3505,7.337,61,101.50,0,160.87,90,26047,7
GJ 357 b,2020-12-30 05:36:37.209057,0.00088,1.53 h,3505,7.337,61,100.79,0,160.75,90,26047,7
GJ 357 b,2021-03-07 01:17:43.166550,0.00224,1.53 h,3505,7.337,61,100.85,0,160.76,90,26047,7
GJ 357 b,2021-03-03 02:57:24.631107,0.00216,1.53 h,3505,7.337,61,101.53,0,160.87,90,26047,7
GJ 357 b,2021-05-01 02:04:54.355992,0.00336,1.53 h,3505,7.337,61,100.51,0,160.71,90,26047,7
GJ 357 b,2021-02-23 06:16:53.299821,0.002,1.53 h,3505,7.337,61,100.70,0,160.74,90,26047,7
HD 213885 b,2021-09-12 03:39:48.357354,0.006237,1.534232 h,5978,6.806,57,101.80,0,158.52,96,94221,29
HD 213885 b,2021-09-09 03:04:55.173623,0.006174,1.534232 h,5978,6.806,57,101.69,0,158.49,96,94221,29
HD 213885 b,2021-09-07 02:41:40.143404,0.006132,1.534232 h,5978,6.806,57,101.56,0,158.46,96,94221,29
HD 213885 b,2021-09-06 02:30:02.759079,0.006111,1.534232 h,5978,6.806,57,101.47,0,158.43,96,94221,29
HD 213885 b,2021-09-10 03:16:32.817503,0.006195,1.534232 h,5978,6.806,57,101.74,0,158.50,96,94221,29
HD 213885 b,2021-09-11 03:28:10.545791,0.006216,1.534232 h,5978,6.806,57,101.78,0,158.51,96,94221,29
HD 213885 b,2021-09-05 02:18:25.463183,0.00609,1.534232 h,5978,6.806,57,101.34,0,158.40,96,94221,29
HD 213885 b,2021-09-04 02:06:48.256562,0.006069,1.534232 h,5978,6.806,57,101.21,0,158.37,96,94221,29
HD 213885 b,2021-09-03 01:55:11.140003,0.006048,1.534232 h,5978,6.806,57,101.07,0,158.33,96,94221,29
HD 213885 b,2021-09-13 03:51:26.251032,0.006258,1.534232 h,5978,6.806,57,101.81,0,158.52,96,94221,29
HD 213885 b,2021-09-01 01:31:57.179958,0.006006,1.534232 h,5978,6.806,57,100.76,0,158.23,96,94221,29
HD 213885 b,2021-09-14 04:03:04.225649,0.006279,1.534232 h,5978,6.806,57,101.80,0,158.52,96,94221,29
HD 213885 b,2021-09-25 06:11:06.958352,0.00651,1.534232 h,5978,6.806,57,100.71,0,158.22,96,94221,29
HD 213885 b,2021-09-15 04:14:42.280028,0.0063,1.534232 h,5978,6.806,57,101.78,0,158.51,96,94221,29
HD 213885 b,2021-09-16 04:26:20.412997,0.006321,1.534232 h,5978,6.806,57,101.73,0,158.50,96,94221,29
HD 213885 b,2021-09-24 05:59:28.169181,0.006489,1.534232 h,5978,6.806,57,100.87,0,158.27,96,94221,29
HD 213885 b,2021-09-19 05:01:15.271908,0.006384,1.534232 h,5978,6.806,57,101.54,0,158.45,96,94221,29
HD 213885 b,2021-09-20 05:12:53.707772,0.006405,1.534232 h,5978,6.806,57,101.45,0,158.42,96,94221,29
HD 213885 b,2021-09-21 05:24:32.216551,0.006426,1.534232 h,5978,6.806,57,101.32,0,158.39,96,94221,29
HD 213885 b,2021-09-22 05:36:10.797131,0.006447,1.534232 h,5978,6.806,57,101.16,0,158.36,96,94221,29
HD 213885 b,2021-09-23 05:47:49.448387,0.006468,1.534232 h,5978,6.806,57,101.03,0,158.32,96,94221,29
HD 213885 b,2021-09-02 01:43:34.114240,0.006027,1.534232 h,5978,6.806,57,100.90,0,158.28,96,94221,29
HD 213885 b,2021-09-08 02:53:17.615244,0.006153,1.534232 h,5978,6.806,57,101.62,0,158.48,96,94221,29
HD 213885 b,2021-06-07 09:10:26.123469,0.004221,1.534232 h,5978,6.806,57,101.67,0,158.49,96,94221,29
HD 213885 b,2021-06-02 08:13:00.296289,0.004116,1.534232 h,5978,6.806,57,101.17,0,158.36,96,94221,29
LTT 1445 A b,2021-08-04 09:12:38.853362,0.0147,1.3776 h,3337,7.294,57,100.88,0,160.55,86,25312.5,8
LTT 1445 A b,2021-09-16 06:01:44.558870,0.0171,1.3776 h,3337,7.294,57,100.61,0,160.51,86,25312.5,8
LTT 1445 A b,2020-11-20 03:45:03.482781,0.0003,1.3776 h,3337,7.294,57,101.39,0,160.63,86,25312.5,8
LTT 1445 A b,2021-11-14 04:43:47.784119,0.0204,1.3776 h,3337,7.294,57,101.32,0,160.63,86,25312.5,8
LTT 1445 A b,2021-10-02 07:50:43.829940,0.018,1.3776 h,3337,7.294,57,101.24,0,160.61,86,25312.5,8
HD 213885 b,2021-06-03 08:24:29.358374,0.004137,1.534232 h,5978,6.806,57,101.32,0,158.39,96,94221,29
HD 213885 b,2021-06-04 08:35:58.470588,0.004158,1.534232 h,5978,6.806,57,101.45,0,158.42,96,94221,29
HD 213885 b,2021-06-05 08:47:27.634482,0.004179,1.534232 h,5978,6.806,57,101.54,0,158.45,96,94221,29
HD 213885 b,2021-06-06 08:58:56.851598,0.0042,1.534232 h,5978,6.806,57,101.61,0,158.47,96,94221,29
HD 15337 b,2021-11-01 03:22:38.089713,0.01258,2.49 h,5125,7.553,56,104.03,0,162.30,160,12544,4
HD 15337 b,2021-09-19 08:03:18.946372,0.01105,2.49 h,5125,7.553,56,104.09,0,162.31,160,12544,4
HD 15337 b,2020-12-03 05:04:36.369524,0.00068,2.49 h,5125,7.553,56,103.06,0,162.05,160,12544,4
HD 15337 b,2021-08-31 07:29:05.245329,0.01037,2.49 h,5125,7.553,56,104.04,0,162.30,160,12544,4
LTT 1445 A b,2021-10-29 02:53:27.029676,0.0195,1.3776 h,3337,7.294,55,102.50,0,163.92,90,25312.5,8
LTT 1445 A b,2021-01-18 02:34:08.408167,0.0036,1.3776 h,3337,7.294,55,102.11,0,163.85,90,25312.5,8
LTT 1445 A b,2020-12-06 05:36:07.457398,0.0012,1.3776 h,3337,7.294,55,101.87,0,163.80,90,25312.5,8
HD 15337 c,2021-10-09 06:50:08.036592,0.0304,2.25 h,5125,7.553,50,104.07,0,162.31,160,2500,1
HD 23472 b,2020-12-25 04:13:39.006970,0.426,2.695974 h,4813,7.865,46,101.60,0,160.65,210,2116,1
HIP 67522 b,2021-05-28 02:31:24.069250,0.000448,4.822 h,5675,8.587,39,101.27,0,156.99,440,4563,3
HIP 67522 b,2021-05-14 04:27:28.857055,0.000416,4.822 h,5675,8.587,39,101.04,0,156.94,440,4563,3
HIP 67522 b,2021-05-21 03:29:23.548082,0.000432,4.822 h,5675,8.587,39,101.19,0,156.97,440,4563,3
WASP-69 b,2021-06-23 05:58:02.016311,0.000114,2.2296 h,4700,8.032,38,102.38,0,161.84,210,5776,4
WASP-69 b,2021-07-20 07:46:57.648579,0.000128,2.2296 h,4700,8.032,38,102.17,0,161.79,210,5776,4
WASP-69 b,2021-09-24 02:01:06.129912,0.000162,2.2296 h,4700,8.032,38,102.91,0,161.94,210,5776,4
WASP-69 b,2021-05-23 07:20:42.078758,9.8E-05,2.2296 h,4700,8.032,38,101.80,0,161.72,210,5776,4
HD 3167 b,2021-08-02 06:35:24.451343,0.00756,1.65 h,5528,7.548,34,100.39,0,157.16,170,13804.0833333333,12
HD 3167 b,2020-11-17 03:13:53.129090,2.8E-05,1.65 h,5528,7.548,34,100.59,0,157.21,170,13804.0833333333,12
HD 3167 b,2020-11-18 02:15:50.679992,5.6E-05,1.65 h,5528,7.548,34,101.02,0,157.32,170,13804.0833333333,12
HD 3167 b,2021-07-07 08:48:39.947126,0.006804,1.65 h,5528,7.548,34,100.74,0,157.25,170,13804.0833333333,12
HD 3167 b,2021-11-08 03:42:33.065992,0.010416,1.65 h,5528,7.548,34,100.67,0,157.23,170,13804.0833333333,12
HD 3167 b,2021-09-18 07:02:37.636141,0.008932,1.65 h,5528,7.548,34,100.68,0,157.23,170,13804.0833333333,12
HD 3167 b,2021-10-13 05:50:52.397550,0.00966,1.65 h,5528,7.548,34,100.36,0,157.14,170,13804.0833333333,12
HD 3167 b,2021-10-14 04:52:45.560516,0.009688,1.65 h,5528,7.548,34,100.90,0,157.30,170,13804.0833333333,12
HD 3167 b,2021-10-15 03:54:38.858312,0.009716,1.65 h,5528,7.548,34,101.13,0,157.35,170,13804.0833333333,12
HD 3167 b,2021-11-09 02:44:29.608687,0.010444,1.65 h,5528,7.548,34,101.06,0,157.33,170,13804.0833333333,12
HD 3167 b,2021-11-10 01:46:26.263204,0.010472,1.65 h,5528,7.548,34,101.13,0,157.35,170,13804.0833333333,12
HD 3167 b,2020-12-12 02:05:15.962877,0.000756,1.65 h,5528,7.548,33,103.11,0,161.66,180,13804.0833333333,12
GJ 9827 c,2021-08-30 07:09:40.902785,0.0050007,1.82496 h,4340,7.984,32,102.03,0,161.44,200,6144,6
GJ 9827 c,2021-09-10 05:49:12.845004,0.0051906,1.82496 h,4340,7.984,32,102.32,0,161.51,200,6144,6
GJ 9827 c,2021-10-02 03:09:08.798421,0.0055704,1.82496 h,4340,7.984,32,102.55,0,161.55,200,6144,6
GJ 9827 c,2021-10-13 01:49:32.310646,0.0057603,1.82496 h,4340,7.984,32,102.35,0,161.52,200,6144,6
GJ 9827 c,2021-06-18 08:11:52.499965,0.0037347,1.82496 h,4340,7.984,32,101.49,0,161.33,200,6144,6
GJ 9827 c,2021-08-19 08:30:25.641293,0.0048108,1.82496 h,4340,7.984,32,101.45,0,161.32,200,6144,6
L 168-9 b,2021-09-02 08:13:54.605422,0.03726,1.264937 h,3800,7.941,28,100.23,0,162.00,160,15680,20
L 168-9 b,2021-09-26 04:03:49.287824,0.04032,1.264937 h,3800,7.941,28,101.24,0,162.21,160,15680,20
L 98-59 c,2020-11-18 06:47:56.307761,0.0003,1.252186 h,3412,7.933,28,100.40,0,162.55,160,7056,9
L 168-9 b,2021-08-05 07:30:22.035625,0.03366,1.264937 h,3800,7.941,28,101.24,0,162.21,160,15680,20
L 168-9 b,2021-08-26 08:02:54.703127,0.03636,1.264937 h,3800,7.941,28,100.68,0,162.09,160,15680,20
L 168-9 b,2021-08-12 07:41:08.350037,0.03456,1.264937 h,3800,7.941,28,101.14,0,162.19,160,15680,20
L 168-9 b,2021-08-19 07:51:59.258507,0.03546,1.264937 h,3800,7.941,28,100.97,0,162.15,160,15680,20
L 168-9 b,2021-09-19 03:52:35.650384,0.03942,1.264937 h,3800,7.941,28,101.25,0,162.21,160,15680,20
L 168-9 b,2021-08-29 03:19:18.133292,0.03672,1.264937 h,3800,7.941,28,100.72,0,162.10,160,15680,20
L 168-9 b,2021-07-29 07:19:40.276901,0.03276,1.264937 h,3800,7.941,28,101.26,0,162.21,160,15680,20
L 168-9 b,2021-09-05 03:30:19.788462,0.03762,1.264937 h,3800,7.941,28,101.00,0,162.16,160,15680,20
L 98-59 c,2020-12-25 04:28:45.139487,0.0033,1.252186 h,3412,7.933,28,100.45,0,162.56,160,7056,9
L 168-9 b,2021-07-01 06:37:35.756505,0.02916,1.264937 h,3800,7.941,28,100.35,0,162.03,160,15680,20
L 98-59 c,2021-01-05 06:10:55.465221,0.0042,1.252186 h,3412,7.933,28,100.93,0,162.67,160,7056,9
L 168-9 b,2021-07-22 07:09:02.944486,0.03186,1.264937 h,3800,7.941,28,101.16,0,162.20,160,15680,20
L 168-9 b,2021-10-24 04:49:13.403210,0.04392,1.264937 h,3800,7.941,28,100.23,0,162.00,160,15680,20
L 168-9 b,2021-10-17 04:37:48.854560,0.04302,1.264937 h,3800,7.941,28,100.69,0,162.09,160,15680,20
L 168-9 b,2021-10-10 04:26:26.319921,0.04212,1.264937 h,3800,7.941,28,100.98,0,162.15,160,15680,20
L 168-9 b,2021-09-12 03:41:25.713480,0.03852,1.264937 h,3800,7.941,28,101.16,0,162.20,160,15680,20
L 168-9 b,2021-10-03 04:15:06.304908,0.04122,1.264937 h,3800,7.941,28,101.15,0,162.19,160,15680,20
L 168-9 b,2021-07-08 06:48:00.908655,0.03006,1.264937 h,3800,7.941,28,100.75,0,162.11,160,15680,20
L 168-9 b,2021-07-15 06:58:29.880871,0.03096,1.264937 h,3800,7.941,28,101.01,0,162.16,160,15680,20
L 98-59 c,2021-03-20 01:32:26.504802,0.0102,1.252186 h,3412,7.933,28,100.91,0,162.66,160,7056,9
L 98-59 c,2021-02-11 03:51:30.005421,0.0072,1.252186 h,3412,7.933,28,100.92,0,162.67,160,7056,9
L 98-59 c,2021-01-16 07:53:05.159145,0.0051,1.252186 h,3412,7.933,28,100.25,0,162.52,160,7056,9
L 98-59 c,2021-03-31 03:14:50.976843,0.0111,1.252186 h,3412,7.933,28,100.14,0,162.49,160,7056,9
L 168-9 b,2020-12-10 01:31:10.863498,0.00306,1.264937 h,3800,7.941,28,100.37,0,162.03,160,15680,20
L 98-59 c,2021-01-31 02:09:18.554365,0.0063,1.252186 h,3412,7.933,28,100.48,0,162.57,160,7056,9
L 98-59 c,2021-02-22 05:33:43.508941,0.0081,1.252186 h,3412,7.933,28,100.21,0,162.50,160,7056,9
K2-233 d,2021-05-11 05:09:51.059024,0.0168,3.8080000000000003 h,4950,8.968,24,101.48,0,158.26,560,576,1
TOI-763 c,2021-04-17 03:45:39.135055,0.0689,3.656382 h,5450,8.858,23,101.77,0,157.73,570,529,1
GJ 9827 b,2021-10-09 04:19:50.797946,0.0018711,1.2648 h,4340,7.984,22,102.14,0,161.47,200,9680,20
GJ 9827 b,2021-10-03 03:14:51.305011,0.00183645,1.2648 h,4340,7.984,22,102.57,0,161.55,200,9680,20
L 98-59 b,2020-12-07 07:21:12.430764,0.004,1.02 h,3412,7.933,22,100.89,0,162.66,160,6292,13
GJ 9827 b,2021-11-01 03:39:31.618553,0.00200277,1.2648 h,4340,7.984,22,101.45,0,161.32,200,9680,20
GJ 9827 b,2021-09-27 02:09:56.957485,0.0018018,1.2648 h,4340,7.984,22,102.02,0,161.44,200,9680,20
GJ 9827 b,2021-09-16 05:01:20.368705,0.00173943,1.2648 h,4340,7.984,22,102.50,0,161.54,200,9680,20
GJ 9827 b,2021-09-10 03:56:40.804341,0.00170478,1.2648 h,4340,7.984,22,102.33,0,161.52,200,9680,20
GJ 9827 b,2021-09-05 07:53:00.988519,0.00167706,1.2648 h,4340,7.984,22,100.78,0,161.18,200,9680,20
GJ 9827 b,2021-10-26 02:34:14.824737,0.00196812,1.2648 h,4340,7.984,22,102.42,0,161.53,200,9680,20
GJ 9827 d,2021-09-01 06:18:00.091186,0.0029422,1.2228 h,4340,7.984,22,102.36,0,161.52,200,1936,4
GJ 9827 d,2021-10-27 01:51:02.691496,0.0035056,1.2228 h,4340,7.984,22,102.58,0,161.55,200,1936,4
GJ 9827 d,2021-09-26 01:38:27.257210,0.0031926,1.2228 h,4340,7.984,22,101.48,0,161.33,200,1936,4
L 98-59 b,2020-11-28 07:03:34.359063,0.0024,1.02 h,3412,7.933,22,100.72,0,162.63,160,6292,13
GJ 9827 d,2021-08-01 06:09:24.904013,0.0026292,1.2228 h,4340,7.984,22,102.15,0,161.47,200,1936,4
GJ 9827 b,2021-08-30 06:48:30.930713,0.00164241,1.2648 h,4340,7.984,22,102.20,0,161.49,200,9680,20
TOI-421 c,2021-02-14 02:35:11.914686,0.0021,2.71 h,5325,8.547,22,101.42,0,157.95,430,484,1
L 98-59 b,2020-12-16 07:38:48.769604,0.0056,1.02 h,3412,7.933,22,100.92,0,162.67,160,6292,13
L 98-59 b,2020-11-19 06:45:54.240711,0.0008,1.02 h,3412,7.933,22,100.41,0,162.55,160,6292,13
GJ 9827 b,2021-09-04 02:52:06.559784,0.00167013,1.2648 h,4340,7.984,22,101.19,0,161.27,200,9680,20
GJ 9827 b,2021-07-15 08:16:47.627575,0.00137907,1.2648 h,4340,7.984,22,102.55,0,161.55,200,9680,20
GJ 9827 b,2021-08-18 04:39:45.913204,0.00157311,1.2648 h,4340,7.984,22,101.94,0,161.42,200,9680,20
L 98-59 b,2021-03-05 04:12:41.170435,0.0196,1.02 h,3412,7.933,22,100.51,0,162.57,160,6292,13
L 98-59 b,2021-02-15 03:37:25.098980,0.0164,1.02 h,3412,7.933,22,100.92,0,162.67,160,6292,13
L 98-59 b,2021-02-06 03:19:49.532494,0.0148,1.02 h,3412,7.933,22,100.89,0,162.66,160,6292,13
L 98-59 b,2021-03-14 04:30:22.297989,0.0212,1.02 h,3412,7.933,22,100.04,0,162.47,160,6292,13
L 98-59 b,2021-05-05 00:12:53.718468,0.0304,1.02 h,3412,7.933,22,100.50,0,162.57,160,6292,13
WASP-127 b,2021-02-21 05:44:42.962985,4.8E-05,4.308 h,5620,9.092,22,101.04,0,156.89,700,1408.3333333333,3
WASP-127 b,2021-03-14 03:06:41.563624,5.8E-05,4.308 h,5620,9.092,22,100.96,0,156.86,700,1408.3333333333,3
GJ 9827 b,2021-08-13 08:36:21.255172,0.00154539,1.2648 h,4340,7.984,22,101.79,0,161.39,200,9680,20
L 98-59 b,2021-05-14 00:30:52.369789,0.032,1.02 h,3412,7.933,22,100.04,0,162.47,160,6292,13
GJ 9827 b,2020-11-30 01:23:33.878109,7.623E-05,1.2648 h,4340,7.984,22,101.83,0,161.40,200,9680,20
GJ 9827 b,2021-06-16 07:58:14.549449,0.00121275,1.2648 h,4340,7.984,22,101.04,0,161.23,200,9680,20
GJ 9827 b,2021-06-22 09:02:04.007849,0.0012474,1.2648 h,4340,7.984,22,102.26,0,161.50,200,9680,20
GJ 9827 b,2021-07-09 07:12:52.422673,0.00134442,1.2648 h,4340,7.984,22,101.90,0,161.41,200,9680,20
GJ 9827 b,2021-07-21 09:20:45.535166,0.00141372,1.2648 h,4340,7.984,22,102.23,0,161.50,200,9680,20
GJ 9827 b,2021-08-01 06:28:01.869320,0.00147609,1.2648 h,4340,7.984,22,102.29,0,161.51,200,9680,20
L 98-59 b,2021-01-28 03:02:15.098693,0.0132,1.02 h,3412,7.933,22,100.71,0,162.62,160,6292,13
L 98-59 b,2021-01-19 02:44:41.385380,0.0116,1.02 h,3412,7.933,22,100.40,0,162.55,160,6292,13
GJ 9827 b,2021-08-07 07:32:09.466616,0.00151074,1.2648 h,4340,7.984,22,102.54,0,161.54,200,9680,20
L 98-59 b,2021-02-24 03:55:02.198438,0.018,1.02 h,3412,7.933,22,100.77,0,162.64,160,6292,13
WASP-127 b,2021-04-29 02:10:29.485597,8E-05,4.308 h,5620,9.092,21,101.53,0,157.95,710,1408.3333333333,3
