,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_tranflag,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_facility,st_j,st_jerr,st_jlim,st_h,st_herr,st_hlim,dec_str_deg
164,HIP 116454,b,HIP 116454 b,Transit,0,1,9.1205,0.0005,-0.0005,0.0,,,,,0.2,0.07,-0.07,0.0,88.43,0.4,-0.4,0.0,0.04,0.01,-0.01,0.0,Mass,0.22,0.01,-0.01,0.0,,,,,0,0,1,23h35m49.28s,353.955353,+00d26m43.9s,0.44551599999999997,62.56,0.18,-0.18,0.0,62.56,0.18,-0.18,0.0,10.19,0.009000000000000001,0.0,9.932,,0.0,5089.0,50.0,-50.0,0.0,0.81,0.11,-0.11,0.0,0.72,0.02,-0.02,0.0,2018-04-26,1,12.7132,3.1783,-3.1783,0.0,,,,,,,,,,,,,K2,8.604,0.021,0.0,8.14,0.033,0.0,0.4455277777777778
170,K2-3,b,K2-3 b,Transit,0,3,10.054626,1e-05,-1.1e-05,0.0,,,,,0.0,,,0.0,89.588,0.11599999999999999,-0.1,0.0,0.020390000000000002,0.0031100000000000004,-0.00293,0.0,Mass,,,,,3.7,1.67,-1.08,0.0,0,0,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,45.0,3.0,-3.0,0.0,44.13,0.11,-0.11,0.0,12.17,0.01,0.0,11.478,,0.0,3896.0,189.0,-189.0,0.0,0.6,0.09,-0.09,0.0,0.56,0.07,-0.07,0.0,2020-05-07,1,6.48,0.99,-0.93,0.0,,,,,2456813.41843,0.00041,-0.00041,0.0,0.22,0.05,-0.06,0.0,K2,9.421,0.027000000000000003,0.0,8.805,0.044000000000000004,0.0,-0.5452222222222223
171,K2-3,c,K2-3 c,Transit,0,3,24.646582,4.1e-05,-4e-05,0.0,,,,,0.0,,,0.0,89.905,0.066,-0.08800000000000001,0.0,0.00673,0.0034,-0.0032700000000000003,0.0,Mass,,,,,2.98,1.96,-1.5,0.0,0,0,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,45.0,3.0,-3.0,0.0,44.13,0.11,-0.11,0.0,12.17,0.01,0.0,11.478,,0.0,3896.0,189.0,-189.0,0.0,0.6,0.09,-0.09,0.0,0.56,0.07,-0.07,0.0,2020-05-07,1,2.14,1.08,-1.04,0.0,,,,,2456812.28018,0.00098,-0.001,0.0,0.09,0.08,-0.06,0.0,K2,9.421,0.027000000000000003,0.0,8.805,0.044000000000000004,0.0,-0.5452222222222223
172,K2-3,d,K2-3 d,Transit,0,3,44.55646,0.00011,-0.0001,0.0,,,,,0.0,,,0.0,89.788,0.033,-0.028999999999999998,0.0,0.00881,,,0.0,Mass,,,,,5.62,,,0.0,0,0,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,45.0,3.0,-3.0,0.0,44.13,0.11,-0.11,0.0,12.17,0.01,0.0,11.478,,0.0,3896.0,189.0,-189.0,0.0,0.6,0.09,-0.09,0.0,0.56,0.07,-0.07,0.0,2020-05-07,1,2.8,,,0.0,,,,,2456826.22346,0.00056,-0.00056,0.0,0.3,0.04,-0.05,0.0,K2,9.421,0.027000000000000003,0.0,8.805,0.044000000000000004,0.0,-0.5452222222222223
580,GJ 1214,b,GJ 1214 b,Transit,0,1,1.58040456,1.6e-07,-1.6e-07,0.0,0.01411,0.00032,-0.00032,0.0,,,,,88.17,0.54,-0.54,0.0,0.0197,0.0027,-0.0027,0.0,Mass,0.254,0.018000000000000002,-0.018000000000000002,0.0,1.49,0.33,-0.33,0.0,0,0,0,17h15m18.92s,258.828837,+04d57m50.1s,4.96392,14.65,0.04,-0.04,0.0,14.65,0.04,-0.04,0.0,15.1,0.6,0.0,13.009,,0.0,3026.0,150.0,-150.0,0.0,0.15,0.01,-0.01,0.0,0.22,0.01,-0.01,0.0,2015-12-03,1,6.26125,0.85814,-0.85814,0.0,,,,,2455320.5357330004,2.1e-05,-2.1e-05,0.0,,,,,MEarth Project,9.75,0.024,0.0,9.094,0.024,0.0,4.963916666666667
1458,WASP-126,b,WASP-126 b,Transit,0,2,3.28883,3.71e-05,-3.71e-05,0.0,,,,,,,,,89.51,0.435,-0.435,0.0,0.28411,,,0.0,Mass,,,,,,,,,1,0,0,04h13m29.73s,63.373865,-69d13m36.5s,-69.226807,234.0,15.0,-15.0,0.0,217.89,0.94,-0.94,0.0,10.8,0.5,0.0,11.065999999999999,,0.0,5800.0,,,0.0,1.12,,,0.0,1.27,,,0.0,2019-12-05,1,90.3,,,0.0,,,,,,,,,,,,,SuperWASP-South,9.962,0.017,0.0,9.658999999999999,0.021,0.0,-68.77319444444444
1644,GJ 1132,b,GJ 1132 b,Transit,0,2,1.628931,2.7e-05,-2.7e-05,0.0,0.0153,0.0005,-0.0005,0.0,0.22,,,0.0,,,,0.0,0.005220000000000001,0.00072,-0.00072,0.0,Mass,0.10099999999999999,0.005,-0.005,0.0,6.3,1.3,-1.3,0.0,0,0,0,10h14m51.78s,153.71573700000002,-47d09m24.2s,-47.156727000000004,12.62,0.01,-0.01,0.0,12.62,0.01,-0.01,0.0,13.49,0.03,0.0,12.138,,0.0,3270.0,140.0,-140.0,0.0,0.18,0.02,-0.02,0.0,0.21,0.01,-0.01,0.0,2020-06-04,1,1.66,0.23,-0.23,0.0,,,,0.0,,,,0.0,,,,0.0,Cerro Tololo Inter-American Observatory,9.245,0.026000000000000002,0.0,8.666,0.031,0.0,-46.84327777777778
1647,K2-24,b,K2-24 b,Transit,0,2,20.88977,0.00034,-0.00035,0.0,,,,,0.06,0.01,-0.01,0.0,,,,,0.05977999999999999,0.00692,-0.0066099999999999996,0.0,Mass,0.48200000000000004,0.018000000000000002,-0.018000000000000002,0.0,0.64,0.12,-0.1,0.0,1,0,1,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332000000002,171.39,1.35,-1.35,0.0,171.39,1.35,-1.35,0.0,11.07,0.11,0.0,10.907,,0.0,5625.0,60.0,-60.0,0.0,1.07,0.06,-0.06,0.0,1.16,0.04,-0.04,0.0,2018-12-13,1,19.0,2.2,-2.1,0.0,,,,,2456905.8855,0.0055,-0.0053,0.0,,,,,K2,9.635,0.024,0.0,9.294,0.021,0.0,-23.009666666666664
1648,K2-24,c,K2-24 c,Transit,0,2,42.3391,0.0012,-0.0012,0.0,,,,,0.07,,,1.0,,,,,0.04845,0.00598,-0.00566,0.0,Mass,0.669,0.027000000000000003,-0.027000000000000003,0.0,0.2,0.04,-0.03,0.0,1,0,1,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332000000002,171.39,1.35,-1.35,0.0,171.39,1.35,-1.35,0.0,11.07,0.11,0.0,10.907,,0.0,5625.0,60.0,-60.0,0.0,1.07,0.06,-0.06,0.0,1.16,0.04,-0.04,0.0,2018-12-13,1,15.4,1.9,-1.8,0.0,,,,,2456915.4485,0.0078,-0.0079,0.0,,,,,K2,9.635,0.024,0.0,9.294,0.021,0.0,-23.009666666666664
1737,K2-18,b,K2-18 b,Transit,0,2,32.939623,9.5e-05,-0.0001,0.0,0.1429,0.006,-0.0065,0.0,0.2,0.08,-0.08,0.0,,,,,0.028069999999999998,0.00535,-0.00503,0.0,Mass,0.21100000000000002,0.02,-0.02,0.0,4.11,1.72,-1.18,0.0,0,0,1,11h30m14.51s,172.56045500000002,+07d35m18.2s,7.5883910000000006,38.07,0.08,-0.08,0.0,38.07,0.08,-0.08,0.0,13.495999999999999,0.05,0.0,12.415,,0.0,3457.0,39.0,-39.0,0.0,0.36,0.05,-0.05,0.0,0.41,0.04,-0.04,0.0,2019-03-21,1,8.92,1.7,-1.6,0.0,,,,,2457264.3914400004,0.00065,-0.00065,0.0,,,,,K2,9.763,0.027999999999999997,0.0,9.135,0.026000000000000002,0.0,7.588388888888889
1921,KELT-10,b,KELT-10 b,Transit,0,1,4.1662739,6.3e-06,-6.3e-06,0.0,0.0525,0.00086,-0.0009699999999999999,0.0,,,,,88.61,0.86,-0.74,0.0,0.679,0.039,-0.038,0.0,Mass,1.399,0.069,-0.049,0.0,0.308,0.033,-0.04,0.0,0,0,0,18h58m11.61s,284.548373,-47d00m11.7s,-47.003242,183.0,14.0,-14.0,0.0,189.39,2.16,-2.16,0.0,10.854000000000001,0.043,0.0,10.700999999999999,,0.0,5948.0,74.0,-74.0,0.0,1.11,0.06,-0.06,0.0,1.21,0.05,-0.04,0.0,2016-04-28,1,215.80657000000002,12.39537,-12.077539999999999,0.0,0.156,0.0016,-0.0012,0.0,2457066.72045,0.00027,-0.00027,0.0,0.23,0.11,-0.14,0.0,KELT-South,9.693,0.019,0.0,9.388,0.022000000000000002,0.0,-46.99675
2619,K2-39,b,K2-39 b,Transit,0,1,4.60543,0.00046,-0.00046,0.0,,,,,0.0,,,0.0,80.39,4.19,-4.19,0.0,0.09,0.05,-0.05,0.0,Mass,0.56,0.15,-0.15,0.0,,,,,0,0,1,22h33m28.41s,338.368378,-09d01m22.0s,-9.022769,310.14,4.7,-4.7,0.0,310.14,4.7,-4.7,0.0,10.83,0.08,0.0,10.595999999999998,,0.0,4881.0,20.0,-20.0,0.0,0.66,0.56,-0.56,0.0,2.97,0.77,-0.77,0.0,2018-04-26,1,28.6047,15.8915,-15.8915,0.0,,,,,,,,,,,,,K2,9.082,0.024,0.0,8.594,0.042,0.0,-8.977222222222222
2642,K2-38,b,K2-38 b,Transit,0,2,4.01593,0.0005,-0.0005,0.0,,,,,,,,,87.28,2.48,-2.48,0.0,0.06,0.03,-0.03,0.0,Mass,0.17,0.03,-0.03,0.0,,,,,0,0,1,16h00m08.06s,240.03358500000002,-23d11m21.4s,-23.189287,193.71,2.64,-2.64,0.0,193.71,2.64,-2.64,0.0,11.39,0.03,0.0,11.184000000000001,,0.0,5757.0,60.0,-60.0,0.0,2.24,1.67,-1.67,0.0,1.38,0.21,-0.21,0.0,2018-04-26,1,19.0698,9.5349,-9.5349,0.0,,,,,,,,,,,,,K2,9.911,0.024,0.0,9.6,0.026000000000000002,0.0,-22.81072222222222
2643,K2-38,c,K2-38 c,Transit,0,2,10.56103,0.0009,-0.0009,0.0,0.0964,0.0016,-0.0016,0.0,,,,,88.61,1.0,-1.67,0.0,0.03115,0.014469999999999998,-0.014469999999999998,0.0,Mass,0.21600000000000003,0.026000000000000002,-0.026000000000000002,0.0,3.6,2.7,-1.9,0.0,0,0,1,16h00m08.06s,240.03358500000002,-23d11m21.4s,-23.189287,193.71,2.64,-2.64,0.0,193.71,2.64,-2.64,0.0,11.39,0.03,0.0,11.184000000000001,,0.0,5757.0,60.0,-60.0,0.0,2.24,1.67,-1.67,0.0,1.38,0.21,-0.21,0.0,2016-07-07,1,9.9,4.6,-4.6,0.0,0.10554169999999999,0.013,-0.006,0.0,2456900.4752,0.0033,-0.0033,0.0,0.64,0.23,-0.41,0.0,K2,9.911,0.024,0.0,9.6,0.026000000000000002,0.0,-22.81072222222222
2658,GJ 9827,b,GJ 9827 b,Transit,0,3,1.2089819,6.93e-06,-7.14e-06,0.0,0.0188,0.0002,-0.00014,0.0,0.0,,,0.0,86.07,0.41,-0.34,0.0,0.01545,0.0015400000000000001,-0.0015400000000000001,0.0,Mass,0.141,0.002,-0.003,0.0,6.93,0.82,-0.76,0.0,0,0,1,23h27m04.83s,351.77014199999996,-01d17m10.6s,-1.286273,29.69,0.05,-0.05,0.0,29.69,0.05,-0.05,0.0,10.25,0.138,0.0,9.838,,0.0,4340.0,40.0,-53.0,0.0,0.61,0.02,-0.01,0.0,0.6,0.01,-0.0,0.0,2019-08-29,1,4.91,0.49,-0.49,0.0,0.0527,0.00093,-0.0008300000000000001,0.0,2457738.8258599997,0.00026000000000000003,-0.00026000000000000003,0.0,0.4602,0.0352,-0.0443,0.0,K2,7.984,0.02,0.0,7.379,0.042,0.0,-0.7137222222222223
2659,GJ 9827,c,GJ 9827 c,Transit,0,3,3.6480957,6.33e-05,-6.21e-05,0.0,0.03925,0.00042,-0.00029,0.0,0.0,,,0.0,88.19,0.21,-0.18,0.0,0.00264,,,0.0,Mass,0.111,0.002,-0.002,0.0,2.42,,,0.0,0,0,1,23h27m04.83s,351.77014199999996,-01d17m10.6s,-1.286273,29.69,0.05,-0.05,0.0,29.69,0.05,-0.05,0.0,10.25,0.138,0.0,9.838,,0.0,4340.0,40.0,-53.0,0.0,0.61,0.02,-0.01,0.0,0.6,0.01,-0.0,0.0,2019-08-29,1,0.84,,,0.0,0.07604,0.0015400000000000001,-0.0015400000000000001,0.0,2457742.1993,0.00072,-0.00073,0.0,0.4428,0.0415,-0.0483,0.0,K2,7.984,0.02,0.0,7.379,0.042,0.0,-0.7137222222222223
2660,GJ 9827,d,GJ 9827 d,Transit,0,3,6.2014698,6.26e-05,-6.11e-05,0.0,0.05591,0.00059,-0.00041,0.0,0.0,,,0.0,87.443,0.045,-0.045,0.0,0.012709999999999999,0.0025800000000000003,-0.00264,0.0,Mass,0.18,0.004,-0.004,0.0,2.69,0.58,-0.57,0.0,0,0,1,23h27m04.83s,351.77014199999996,-01d17m10.6s,-1.286273,29.69,0.05,-0.05,0.0,29.69,0.05,-0.05,0.0,10.25,0.138,0.0,9.838,,0.0,4340.0,40.0,-53.0,0.0,0.61,0.02,-0.01,0.0,0.6,0.01,-0.0,0.0,2019-08-29,1,4.04,0.82,-0.84,0.0,0.05095,0.00147,-0.00122,0.0,2457740.96115,0.00044,-0.00045,0.0,0.8927,0.0071,-0.009,0.0,K2,7.984,0.02,0.0,7.379,0.042,0.0,-0.7137222222222223
2820,WASP-127,b,WASP-127 b,Transit,0,1,4.178062,2e-06,-2e-06,0.0,0.052,0.0005,-0.0005,0.0,,,,,88.7,0.8,-0.6,0.0,0.18,0.02,-0.02,0.0,Mass,1.37,0.04,-0.04,0.0,0.09,0.013,-0.013,0.0,0,0,0,10h42m14.08s,160.55867,-03d50m06.2s,-3.835064,102.0,12.0,-12.0,0.0,160.23,1.2,-1.2,0.0,10.15,,0.0,10.054,,0.0,5620.0,85.0,-85.0,0.0,1.08,0.03,-0.03,0.0,1.39,0.03,-0.03,0.0,2016-12-01,1,57.2094,6.3566,-6.3566,0.0,0.1795,0.0007,-0.0007,0.0,2457248.74131,0.00016,-0.00016,0.0,0.15,0.09,-0.11,0.0,SuperWASP,9.092,0.023,0.0,8.738,0.053,0.0,-2.164944444444444
2829,WASP-107,b,WASP-107 b,Transit,0,1,5.72149,2e-06,-2e-06,0.0,0.055,0.001,-0.001,0.0,0.0,,,0.0,89.7,0.2,-0.2,0.0,0.12,0.01,-0.01,0.0,Mass,0.94,0.02,-0.02,0.0,0.19,0.03,-0.03,0.0,0,0,0,12h33m32.85s,188.38687099999999,-10d08m46.1s,-10.146149000000001,64.86,0.26,-0.26,0.0,64.86,0.26,-0.26,0.0,11.470999999999998,0.196,0.0,11.174000000000001,,0.0,4430.0,120.0,-120.0,0.0,0.69,0.05,-0.05,0.0,0.66,0.02,-0.02,0.0,2017-08-17,1,38.1396,3.1783,-3.1783,0.0,0.1147,0.0003,-0.0003,0.0,2456514.4106,0.0001,-0.0001,0.0,0.09,0.07,-0.07,0.0,SuperWASP-South,9.378,0.021,0.0,8.777000000000001,0.026000000000000002,0.0,-9.853861111111112
2889,WASP-74,b,WASP-74 b,Transit,0,1,2.13775,1e-06,-1e-06,0.0,,,,,0.0,,,0.0,79.81,0.24,-0.24,0.0,0.72,0.12,-0.12,0.0,Mass,1.36,0.1,-0.1,0.0,,,,,0,0,0,20h18m09.32s,304.538823,-01d04m32.4s,-1.075676,149.85,1.14,-1.14,0.0,149.85,1.14,-1.14,0.0,9.7,,0.0,9.572000000000001,,0.0,5990.0,110.0,-110.0,0.0,0.98,0.24,-0.24,0.0,1.42,0.1,-0.1,0.0,2018-04-26,1,228.8376,38.1396,-38.1396,0.0,,,,,,,,,,,,,SuperWASP,8.548,0.033,0.0,8.286,0.011000000000000001,0.0,-0.9243333333333333
3079,WASP-20,b,WASP-20 b,Transit,0,1,4.8996284,3.3e-06,-3.3e-06,0.0,0.06,0.0006900000000000001,-0.0006900000000000001,0.0,0.0,,,0.0,85.56,0.22,-0.22,0.0,0.311,0.017,-0.017,0.0,Mass,1.462,0.059000000000000004,-0.059000000000000004,0.0,0.132,0.016,-0.016,0.0,0,0,0,00h20m38.53s,5.160558999999999,-23d56m08.6s,-23.935728,210.0,20.0,-20.0,0.0,,,,,10.68,,0.0,10.65,,0.0,5940.0,100.0,-100.0,0.0,1.2,0.04,-0.04,0.0,1.39,0.04,-0.04,0.0,2015-03-05,1,98.841,5.403,-5.403,0.0,0.1418,0.0014,-0.0014,0.0,2455715.65562,0.00029,-0.00029,0.0,0.718,0.018,-0.018,0.0,SuperWASP,9.701,0.017,0.0,9.417,0.02,0.0,-22.06427777777778
3087,WASP-29,b,WASP-29 b,Transit,0,1,3.92273,4e-06,-4e-06,0.0,,,,,0.03,0.04,-0.04,0.0,88.8,0.7,-0.7,0.0,0.23,0.05,-0.05,0.0,Mass,0.77,0.07,-0.07,0.0,,,,,0,0,0,23h51m31.09s,357.87953799999997,-39d54m24.2s,-39.906719,87.82,0.31,-0.31,0.0,87.82,0.31,-0.31,0.0,,,,10.892999999999999,,0.0,4800.0,150.0,-150.0,0.0,0.77,0.25,-0.25,0.0,0.79,0.07,-0.07,0.0,2018-04-26,1,73.1009,15.8915,-15.8915,0.0,,,,,,,,,,,,,SuperWASP,9.353,0.021,0.0,8.875,0.019,0.0,-38.09327777777778
3091,WASP-34,b,WASP-34 b,Transit,0,1,4.31768,5e-06,-5e-06,0.0,,,,,0.04,0.01,-0.01,0.0,85.2,0.2,-0.2,0.0,0.56,0.17,-0.17,0.0,Mass,1.0,0.08,-0.08,0.0,,,,,0,0,0,11h01m35.89s,165.399561,-23d51m38.3s,-23.860636,132.59,0.85,-0.85,0.0,132.59,0.85,-0.85,0.0,10.4,,0.0,10.205,,0.0,5700.0,100.0,-100.0,0.0,0.96,0.45,-0.45,0.0,0.91,0.08,-0.08,0.0,2018-04-26,1,177.9848,54.0311,-54.0311,0.0,,,,,,,,,,,,,SuperWASP,9.172,0.025,0.0,8.842,0.042,0.0,-22.13936111111111
3092,WASP-35,b,WASP-35 b,Transit,0,1,3.16158,2e-06,-2e-06,0.0,,,,,0.0,,,0.0,87.96,0.28,-0.28,0.0,0.71,0.1,-0.1,0.0,Mass,1.3,0.07,-0.07,0.0,,,,,0,0,0,05h04m19.63s,76.08178199999999,-06d13m47.4s,-6.229821,203.39,1.69,-1.69,0.0,203.39,1.69,-1.69,0.0,11.01,0.09,0.0,10.853,,0.0,5990.0,80.0,-80.0,0.0,1.05,0.19,-0.19,0.0,1.08,0.06,-0.06,0.0,2018-04-26,1,225.6593,31.783,-31.783,0.0,,,,,,,,,,,,,SuperWASP,9.887,0.03,0.0,9.597999999999999,0.023,0.0,-5.770166666666666
3223,WASP-63,b,WASP-63 b,Transit,0,1,4.37808,6e-06,-6e-06,0.0,,,,,0.0,,,0.0,87.8,1.3,-1.3,0.0,0.37,0.09,-0.09,0.0,Mass,1.41,0.14,-0.14,0.0,,,,,0,0,0,06h17m20.74s,94.336431,-38d19m23.7s,-38.323257,293.13,2.04,-2.04,0.0,293.13,2.04,-2.04,0.0,11.2,,0.0,10.919,,0.0,5550.0,100.0,-100.0,0.0,1.28,0.42,-0.42,0.0,1.86,0.19,-0.19,0.0,2018-04-26,1,117.5971,28.6047,-28.6047,0.0,,,,,,,,,,,,,SuperWASP,9.818,0.024,0.0,9.463,0.021,0.0,-37.67675
3229,WASP-69,b,WASP-69 b,Transit,0,1,3.86814,2e-06,-2e-06,0.0,,,,,0.0,,,0.0,86.71,0.2,-0.2,0.0,0.29,0.03,-0.03,0.0,Mass,1.11,0.04,-0.04,0.0,,,,,0,0,0,21h00m06.19s,315.025778,-05d05m39.9s,-5.094404,50.03,0.13,-0.13,0.0,50.03,0.13,-0.13,0.0,9.87,0.03,0.0,9.485,,0.0,4700.0,50.0,-50.0,0.0,0.98,0.14,-0.14,0.0,0.86,0.03,-0.03,0.0,2018-04-26,1,92.1707,9.5349,-9.5349,0.0,,,,,,,,,,,,,SuperWASP,8.032,0.015,0.0,7.542999999999999,0.017,0.0,-4.905583333333333
3230,WASP-70 A,b,WASP-70 A b,Transit,0,1,3.7130203,4.7e-06,-4.7e-06,0.0,0.048530000000000004,0.00062,-0.00062,0.0,0.0,,,0.0,87.12,1.24,-0.65,0.0,0.59,0.022,-0.022,0.0,Mass,1.1640000000000001,0.073,-0.102,0.0,0.499,0.138,-0.08,0.0,0,0,0,21h01m54.47s,315.476951,-13d25m59.6s,-13.433218,245.0,20.0,-20.0,0.0,223.73,2.87,-2.87,0.0,10.79,0.08,0.0,11.032,,0.0,5763.0,79.0,-79.0,0.0,1.11,0.04,-0.04,0.0,1.22,0.06,-0.09,0.0,2014-10-15,1,187.512,6.992,-6.992,0.0,0.1389,0.0014,-0.0019,0.0,2455736.50348,0.00027,-0.00027,0.0,0.431,0.076,-0.169,0.0,SuperWASP,9.996,0.032,0.0,9.714,0.043,0.0,-12.566777777777778
